t,xj166,xj167,xj168,xj169,xj170,xj178,xj2
426.25,11274.4512,10843.2334,10785.335,10940.2744,10991.7734,10991.6543,10473.0605
426.375,11274.0313,10925.0313,10678.9707,10850.9717,10849.3682,11081.8672,10127.5254
426.5,11252.0059,10926.8262,10634.291,10829.2422,10707.9121,11099.5557,10096.2021
426.625,11217.8242,10963.6689,10633.9727,10711.2217,10741.4082,10922.8203,10380.752
426.75,11175.9141,11054.5859,10730.1982,10525.5723,10832.8867,10944.6475,10594.3164
426.875,11026.2031,11055.8145,10782.5371,10535.9063,10703.4834,10968.1152,11273.5166
427,11002.4229,11163.7246,10652.9814,9020.9551,10568.6406,10856.377,10669.4258
427.125,10968.7305,10997.8691,10629.3447,5665.8516,10489.1963,10272.3408,10600.2686
427.25,10968.7305,10544.6455,10629.3447,4829.3794,10868.8018,7099.4702,10752.1641
427.375,10939.5361,10538.3184,10629.3447,5701.1074,11368.4971,3613.936,10562.0332
427.5,10769.8926,10895.5811,10629.3447,10029.8037,11134.9658,3299.551,10691.6484
427.625,10914.4844,10627.5869,10643.7021,10704.4082,10798.3574,3288.0278,10028.6436
427.75,10949.2471,10073.0479,11073.4014,10999.0059,10620.0586,3051.1331,9575.7266
427.875,10968.0566,10221.0645,11913.501,11164.2188,10735.0898,2461.1445,9982.8359
428,10789.0615,10681.3438,12168.8203,10908.6416,10950.0068,2468.4287,9758.0352
428.125,10721.9102,10740.5479,12059.1738,10603.2217,10862.5088,2615.2991,8500.2168
428.25,10864.2998,10876.4502,11474.9326,10500.5625,10860.2588,2768.6333,7801.5464
428.375,10908.0469,10942.9258,10813.6426,10376.8623,10701.8467,2872.0269,8691.8809
428.5,10881.5645,10945.0967,10710.7432,10339.4365,10579.9727,2811.2251,9122.0859
428.625,10812.7852,10945.0967,10917.2129,10457.5029,10803.25,2813.6882,9806.085
428.75,10642.7705,10862.1953,10832.3955,10601.915,10905.1514,2963.0212,10688.7422
428.875,10981.1582,10622.501,10774.1563,10666.4531,11077.6738,3036.3745,11534.2285
429,11118.2549,10021.4639,10749.3359,10559.1338,10854.6777,2826.9946,11338.417
429.125,11118.2549,7214.2202,10627.5752,10655.9141,10605.8564,3657.7217,10588.0664
429.25,11118.2549,3186.1365,10772.291,10692.1582,10502.6748,4170.5449,10041.916
429.375,11040.54,3797.9282,10658.1357,10691.748,10297.1602,9398.5303,10029.249
429.5,11011.04,7645.2515,10686.7666,10689.7324,10151.5947,12016.4219,9784.792
429.625,11099.9102,9718.3926,10706.7256,10689.7324,10112.1104,12098.2627,9866.3027
429.75,11130.9775,10877.5889,10504.0811,10725.0225,9592.4219,11673.6523,10447.8564
429.875,11083.0254,10954.3643,10493.1221,10825.2031,7927.5415,11377.6035,11472.623
430,11100.6289,10817.3164,10706.9961,10698.0117,6400.3218,11297.6836,11997.7305
430.125,11213.3135,10729.6133,10559.1875,10479.1475,6023.8018,11120.1924,12453.4248
430.25,11242.8496,10831.6836,10361.0811,10494.1338,6099.2231,10748.2578,12598.8027
430.375,11266.0732,10785.1787,10320.7783,10579.1768,6175.0366,10516.834,12543.5088
430.5,10822.0723,10453.6963,10378.0244,10697.2686,6748.6406,10668.0586,11731.8418
430.625,10779.5488,10659.418,10527.8545,10819.5078,8381.6045,10577.2207,11571.0918
430.75,10808.6816,10497.7803,10750.6631,10922.5723,8020.3491,10564.6016,11795.8799
430.875,10836.8906,10276.9102,10916.4619,10727.8252,3952.7522,10536.3252,11568.1377
431,10815.5703,10220.666,10915.5664,10485.7393,3101.4138,10967.9863,11594.4355
431.125,10595.7832,10059.7725,10882.4443,10705.0723,3360.9077,10990.6934,11946.0713
431.25,10741.6484,10371.3477,10784.6387,10814.7207,2906.8809,10923.6309,11756.1904
431.375,10719.085,10858.4893,10913.3799,10663.4902,2333.1472,11026.6299,10760.4697
431.5,10596.167,11148.1943,10913.3799,10404.1465,2181.2944,11058.9531,11421.7402
431.625,10648.1641,10971.7568,10869.665,10494.5625,2198.8457,10887.8428,10347.626
431.75,10775.0039,10971.0088,10761.1201,10537.4443,2423.7561,11006.4082,10018.4189
431.875,10824.6191,10888.9912,10761.1201,10421.6074,2822.0586,11210.8379,10217.5293
432,10729.3936,10892.2559,10760.6523,10400.6045,3068.0371,11440.1465,10466.3301
432.125,10480.9014,11191.0039,10810.1914,10242.8574,3011.0374,11281.5,10326.7822
432.25,10627.625,11069.5,10910.5664,10225.1963,2700.0139,10832.3613,10316.917
432.375,10962.0547,10977.6348,10735.1211,10262.5879,2548.0813,10599.3115,10048.2334
432.5,10962.0547,10977.873,10608.5811,10262.2773,2968.759,10552.6689,7471.5337
432.625,10841.832,11063.6641,10607.1543,10135.2695,4920.5029,10459.9971,5512.6958
432.75,10759.1025,11107.1592,10634.3193,9994.7891,8256.8955,10636.1182,5838.4063
432.875,10696.5889,10964.6465,10792.3418,9862.4063,9311.6484,10520.6973,8261.2822
433,10733.6592,9132.209,10755.5352,10037.0234,9331.6563,10710.3633,7700.1177
433.125,10818.4502,8315.5615,10752.1191,10257.5244,9428.5527,10870.6025,8388.6924
433.25,10721.7178,10662.3115,10603.458,10135.3311,9691.4482,10894.3691,8613.9502
433.375,10539.7773,11368.0059,10603.458,10122.376,9858.7158,10858.8916,7297.085
433.5,10628.8975,11238.0908,10603.458,10120.9443,9726.3115,10645.2598,9049.3584
433.625,10692.249,11002.1299,10623.6133,10184.1133,9425.7617,10487.0498,10448.2217
433.75,10625.4434,10988.5547,10752.7432,10525.0459,9112.3682,10799.2275,10477.0527
433.875,10343.7881,11103.1563,10752.7432,10879.1191,9266.9004,11002.5684,9643.9678
434,10446.585,11118.1514,10891.665,10623.3135,9212.4434,11076.2998,8665.3672
434.125,10755.248,11119.4385,10901.1973,10286.1543,9371.2041,10992.8115,9715.7002
434.25,10679.3184,11093.5439,10901.1973,10301.6846,9476.1533,10933.6885,10878.6563
434.375,10773.2324,10994.6592,10953.3281,10382.2656,9477.0059,10887.3105,10358
434.5,10858.7764,10895.1592,11053.0693,10277.377,9478.0752,10715.5566,10687.4209
434.625,10902.0088,11021.2402,11051.6133,10266.8066,9478.0752,10733.4854,10511.5391
434.75,10855.3271,11333.083,11034.9189,10379.0771,9605.1953,11094.5537,10990.4971
434.875,10837.8066,11382.0039,10899.3232,10542.9521,9649.7783,11292.8262,10490.4004
435,10408.416,11382.7578,10778.6357,10471.1279,9841.6211,11307.9033,9680.1543
435.125,10245.8232,11160.3066,10746.2305,10204.3047,10039.8252,10548.585,10318.3662
435.25,10297.4551,10729.9785,10746.2305,10091.4678,10039.8252,9332.9814,10774.041
435.375,10690.4131,10286.0527,10745.4316,10657.7207,10039.8252,7459.2979,10233.8438
435.5,11061.1133,10253.9512,10745.2988,10611.4863,10077.3047,5759.8667,9511.3037
435.625,11092.1387,10535.0615,10744.168,10436.7949,10125.4922,5629.0513,10162.2969
435.75,11082.2295,10809.666,10743.4385,10676.5449,9682.374,5096.3877,11676.4775
435.875,10885.9121,11007.167,10743.4385,10695.1191,9293.2402,2503.8494,13237.2842
436,10758.2178,10904.3135,10796.9932,10151.3027,9786.584,2105.8564,12690.3643
436.125,10669.3691,11010.1162,10892.7656,6971.1138,10677.7148,2262.8687,11515.2197
436.25,10546.5371,11011.4609,10892.7656,3510.5649,10554.3232,2513.6482,12066.9932
436.375,10549.2383,11011.7119,11004.3477,2784.3926,9865.2813,2461.8696,12438.3135
436.5,10466.9805,11013.0479,11044.1406,3824.3213,10094.9287,2480.1599,10520.75
436.625,10273.8203,11014.7227,10817.2373,4649.8809,10293.0566,2191.0708,10595.2236
436.75,9173.7695,11016.0439,10667.9707,2824.7295,10333.21,2247.2012,12007.0371
436.875,4840.624,11039.6641,11043.208,4026.0005,10232.749,2247.2012,11280.3164
437,4992.5903,11144.5586,11194.7178,8389.6191,10050.4648,2251.8267,11567.6846
437.125,5108.9424,11106.2158,10956.9434,9150.3477,9994.1055,2470.2764,11386.9932
437.25,4329.7485,11017.1797,10627.4512,6486.0591,9860.5166,2610.0225,11841.5928
437.375,3896.0593,10894.8877,10639.3545,3551.1807,9697.3838,2715.948,10663.1641
437.5,4290.3174,10780.9619,11207.8818,3943.3872,9569.7324,3479.0593,10990.0605
437.625,4461.5532,10771.3779,11759.2314,7843.2046,9461.834,6338.2324,10381.5693
437.75,3544.7734,10880.9336,11584.2627,10216.1396,9362.4717,10662.0293,9247.3848
437.875,3157.2651,11098.2129,11341.1963,10653.2031,9471.9727,11947.459,8361.1602
438,3178.2336,10946.2969,11341.1963,10224.1318,9565.6143,11224.0068,7509.46
438.125,3178.9868,10900.8857,11341.1963,10404.251,9537.6055,10691.9043,7443.7983
438.25,3079.3623,11018.4063,11341.1963,10179.1631,7255.4004,10430.8887,8679.7129
438.375,2823.9946,11146.0313,11341.1963,10090.9199,5969.9297,10560.127,9320.1182
438.5,2803.7527,11158.5469,11341.1963,10032.3584,6687.7378,10360.4316,10131.1904
438.625,2805.0447,11155.9971,11341.1963,10087.1377,5960.4844,10063.9795,11784.6895
438.75,2835.4092,11010.8076,11341.1963,9959.0137,3442.9023,10043.5508,12579.499
438.875,2768.4446,10638.7529,11241.9814,9813.876,3813.7346,10227.75,11493.5615
439,2553.6426,10646.1611,11174.5605,9757.2598,3851.1355,10515.2305,11868.7529
